Toy #,Col.#,Model Name,Series,Series #,Photo
HYY62,121,'67 Ford Mustang Coupe,Then and Now,1/10,
HYY63,122,Range Rover Velar,Then and Now,2/10,
HYY64,123,2018 Honda Civic Type R,Then and Now,3/10,
HYY26,123,2018 Honda Civic Type R (2nd Color),Then and Now Dollar Tree/Family Dollar Exclusive,3/10,
JBB77,123,2018 Honda Civic Type R (3rd Color),Then and Now,3/10,
HYY65,124,Futurismo,HW Race Day,4/10,
HYX89,124,Futurismo (2nd Color),HW Race Day,4/10,
HYY66,125,2020 Koenigsegg Jesko,HW Race Day,5/10,
JBB59,125,2020 Koenigsegg Jesko (2nd Color),HW Race Day,5/10,
HYY67,126,HW Formula Solar,HW Celebration Racers Earth Day,4/10,
HYY68,127,'92 Ford Mustang,HW: '70s vs. '90s,7/10,
HYY69,128,RRRoadster,Compact Kings,5/10,
JBB97,128,RRRoadster (2nd Color),Compact Kings,5/10,
HYY70,129,'68 Dodge Dart,Compact Kings,6/10,
HYY71,130,'20 Jeep Gladiator,HW Dirt,6/10,
JBC40,130,'20 Jeep Gladiator,HW Dirt Super Treasure Hunt,6/10,
HYY79,131,'71 Dodge Challenger,Muscle Mania,1/10,
HYW62,132,Snoopy,HW Screen Time,7/10,
HYX28,133,Monster Dairy Delivery,HW Designed By,5/5,
HYX93,133,Monster Dairy Delivery (2nd Color),HW Designed By,5/5,
HYY74,134,'68 Corvette - Gas Monkey Garage,HW Dream Garage,5/5,
HYY46,134,'68 Corvette - Gas Monkey Garage (2nd Color),Red Edition Target Exclusive,9/12,
HYW30,135,Long Bloc,HW Art Cars New for 2025!,9/10,
HYX97,135,Long Bloc (2nd Color),HW Art Cars New for 2025!,9/10,
HYY75,136,Salt Shaker,X-Raycers,10/10,
JBB80,136,Salt Shaker (2nd Color),X-Raycers,10/10,
HYY76,137,Rapid Pulse,HW First Response,5/5,
JBB50,137,Rapid Pulse (2nd Color),HW First Response,5/5,
HYY77,138,Pixel Shaker,HW Ride-Ons,5/5,
JBB54,138,Pixel Shaker (2nd Color),HW Ride-Ons,5/5,
HYY78,139,Custom '53 Cadillac,Rod Squad,9/10,
HYW24,140,Ford Model A Custom '31,HW Dirt New for 2025!,7/10,
HYX92,140,Ford Model A Custom '31 (2nd Color),HW Dirt New for 2025!,7/10,
JBC25,141,'85 Honda City Turbo II,HW J-Imports Treasure Hunt,5/5,
HYW41,142,McLaren W1,HW Race Day New for 2025!,6/10,
JBC17,142,McLaren W1 (2nd Color),HW Race Day New for 2025!,6/10,
JBC26,143,Birthday Burner,HW Celebration Racers Treasure Hunt Happy Birthday!,5/10,
HYY80,144,Nissan Skyline GT-R (BCNR33),HW: '70s vs. '90s,8/10,
HYY04,144,Nissan Skyline GT-R (BCNR33) (2nd Color),HW: '70s vs. '90s,8/10,
HYY81,145,Batmobile,Batman,4/5,
HYY82,146,Minecart,HW Screen Time,8/10,
HYY83,147,Chevy El Camino,HW Screen Time New in Mainline,9/10,
HYW35,148,Cone Shaker,HW Metro New for 2025!,5/5,
JBB62,148,Cone Shaker (2nd Color),HW Metro New for 2025!,5/5,
HYY84,149,Quick Bite,Fast Foodie,3/5,
JBB63,149,Quick Bite (2nd Color),Fast Foodie,3/5,
HYY85,150,Honda CB750 Café,HW Moto,1/5,
JBB79,150,Honda CB750 Café (2nd Color),HW Moto,1/5,
HYY37,150,Honda CB750 Café (3rd Color),HW Moto Kroger Exclusive,1/5,
HYY86,151,Rodger Dodger 2.0,HW EV,9/10,
JBB65,151,Rodger Dodger 2.0 (2nd Color),HW EV,9/10,
HYY97,152,'19 Chevy Silverado Trail Boss LT,HW Dirt,8/10,
HYY88,153,Buns of Steel,Hot Wheels Let's Race,5/5,
HYW87,154,Porsche 911 Rallye,Safari Mode,2/5,
JBC41,154,Porsche 911 Rallye,Safari Mode Super Treasure Hunt,2/5,
HYY89,155,Big-Air Bel-Air,Safari Mode,3/5,
JBB51,155,Big-Air Bel-Air (2nd Color),Safari Mode,3/5,
HYY90,156,HW Ultimate T-Rex Transporter,Experimotors,4/10,
JBC10,156,HW Ultimate T-Rex Transporter (2nd Color),Experimotors,4/10,
HYY91,157,'83 Chevy Silverado,HW Hot Trucks,9/10,
JMT29,157,'83 Chevy Silverado (2nd Color),HW Hot Trucks,9/10,
HYW33,158,Hoto Roto,Rod Squad New for 2025!,10/10,
JBB74,158,Hoto Roto (2nd Color),Rod Squad New for 2025!,10/10,
HYY92,159,Ford GT,HW Modified,4/5,
JBB75,159,Ford GT (2nd Color),HW Modified,4/5,
JBB02,160,Crate Racer,Experimotors,5/10,
JBB87,160,Crate Racer (2nd Color),Experimotors,5/10,
HYY93,161,'67 Shelby GT500,Mustang 60th,3/5,
JBB94,161,'67 Shelby GT500 (2nd Color),Mustang 60th,3/5,
JBB30,162,2018 Bentley Continental GT3,HW Race Day,7/10,
JBC18,162,2018 Bentley Continental GT3 (2nd Color),HW Race Day,7/10,
HYY95,163,'95 Mazda RX-7 Drift,HW: '70s vs. '90s New in Mainline,9/10,
JBB57,163,'95 Mazda RX-7 Drift (2nd Color),HW: '70s vs. '90s New in Mainline,9/10,
HYY96,164,'70 Dodge Hemi Challenger,HW: '70s vs. '90s,10/10,
HYY61,165,'69 Mercury Cyclone,Muscle Mania,2/10,
HYY98,166,Disney Steamboat,HW Screen Time,10/10,
HYX42,167,Mattel Dream Mobile,HW Celebration Racers Mattel 80th Anniversary,6/10,
JBC27,168,Nissan Leaf NISMO RC_02,HW EV Treasure Hunt,10/10,
JBB00,169,'67 Austin Mini Van,HW Art Cars,10/10,
JBB68,169,'67 Austin Mini Van (2nd Color),HW Art Cars,10/10,
JBB01,170,Madfast,Track Aces,3/5,
HYY09,170,Madfast (2nd Color),Track Aces,3/5,
HYW36,171,Amaru GTC,Safari Mode New for 2025!,4/5,
JBB52,171,Amaru GTC (2nd Color),Safari Mode New for 2025!,4/5,
HYW32,172,Renault Espace F1,HW Modified New for 2025!,5/5,
JBB76,172,Renault Espace F1 (2nd Color),HW Modified New for 2025!,5/5,
JBB03,173,1978 Dodge Li'l Red Express Truck,HW Hot Trucks,10/10,
HYW11,174,Peugeot 9X8 Hypercar,HW Exotics New for 2025!,2/5,
JBB04,175,'71 Mustang Funny Car,Mustang 60th,4/5,
JBC42,175,'71 Mustang Funny Car,Mustang 60th Super Treasure Hunt,4/5,
HYW50,176,'96 Dodge Viper GTS,Then and Now New for 2025!,4/10,
JBB95,176,'96 Dodge Viper GTS (2nd Color),Then and Now New for 2025!,4/10,
JBB07,177,Vespa 90 SS Super Sprint (1966),HW Moto,2/5,
JBB05,178,'17 Ford F-150 Raptor,HW Dirt,9/10,
HYY19,178,'17 Ford F-150 Raptor (2nd Color - Zamac),HW Dirt Walmart Exclusive,9/10,
JBB06,179,'15 Land Rover Defender Double Cab,HW Dirt,10/10,
HYY35,179,'15 Land Rover Defender Double Cab (2nd Color),HW Dirt Kroger Exclusive,10/10,
JBC00,179,'15 Land Rover Defender Double Cab (3rd Color),HW Dirt,10/10,
JBC28,180,Chill Mill,Fast Foodie Treasure Hunt,4/5,
HYW43,181,Honda Motocompo,HW Moto New for 2025!,3/5,
JBC03,181,Honda Motocompo (2nd Color),HW Moto New for 2025!,3/5,
JBB08,182,'62 Corvette Gasser,HW Reverse Rake,4/5,
JBC43,182,'62 Corvette Gasser,HW Reverse Rake Super Treasure Hunt,4/5,
JBB09,183,Drift'n Break,HW Wagons,1/5,
JBC06,183,Drift'n Break (2nd Color),HW Wagons,1/5,
JBB10,184,Track Dwagon,HW Wagons,2/5,
HYY34,184,Track Dwagon (2nd Color),HW Wagons Kroger Exclusive,2/5,
JBB81,184,Track Dwagon (3rd Color),HW Wagons,2/5,
HYW38,185,BMW 635 CSi,Wild Widebody New for 2025!,1/5,
JBB84,185,BMW 635 CSi (2nd Color),Wild Widebody New for 2025!,1/5,
JBB11,186,'89 Mercedes-Benz 560 SEC AMG,Wild Widebody,2/5,
JBB85,186,'89 Mercedes-Benz 560 SEC AMG (2nd Color),Wild Widebody,2/5,
JBB12,187,Porsche 911 Carrera Clip,Experimotors,6/10,
JBC11,187,Porsche 911 Carrera Clip (2nd Color),Experimotors,6/10,
HYW39,188,Decidedly Go,Experimotors New for 2025!,7/10,
JBC12,188,Decidedly Go (2nd Color),Experimotors New for 2025!,7/10,
JBB13,189,'67 Mustang,Muscle Mania,3/10,
JBB14,190,Gordon Murray Automotive T.50s,HW Exotics,3/5,
HYY48,190,Gordon Murray Automotive T.50s (2nd Color),Red Edition Target Exclusive,11/12,
HYW34,191,Ferrari SF90 Stradale,Factory Fresh New for 2025!,5/5,
HYY08,191,Ferrari SF90 Stradale (2nd Color),Factory Fresh New for 2025!,5/5,
JBB31,192,Czinger 21C,Peak Pursuit,1/10,
JBB96,192,Czinger 21C (2nd Color),Peak Pursuit,1/10,
HYX18,193,'68 Lotus Type 49,HW Race Day,8/10,
HYY17,193,'68 Lotus Type 49 (2nd Color),HW Race Day Kroger Exclusive,8/10,
HYY56,194,Formula E Gen3,Track Aces,4/5,
HYW40,195,Alfa Romeo Giulia TI Super,Compact Kings New for 2025!,7/10,
JBB98,195,Alfa Romeo Giulia TI Super (2nd Color),Compact Kings New for 2025!,7/10,
HYX24,196,Mazda RX-3,Compact Kings,8/10,
HYW42,197,Hot Wheengs,Fast Foodie New for 2025!,5/5,
JBC02,197,Hot Wheengs (2nd Color),Fast Foodie New for 2025!,5/5,
HYW59,198,Ferrari F40 Competizione,HW Exotics New for 2025!,4/5,
JBB92,198,Ferrari F40 Competizione (2nd Color),HW Exotics New for 2025!,4/5,
JBB20,199,Audi 90 quattro,Peak Pursuit,2/10,
JBC04,199,Audi 90 quattro (2nd Color),Peak Pursuit,2/10,
JBB21,200,VW T3 Custom,Peak Pursuit,3/10,
HYY47,200,VW T3 Custom (2nd Color),Red Edition Target Exclusive,10/12,
JBC05,200,VW T3 Custom (3rd Color),Peak Pursuit,3/10,
JBB22,201,Honda Civic Custom,HW Reverse Rake,5/5,
JBC29,202,Chevroletor,Track Aces Treasure Hunt,5/5,
HYW44,203,Lil' Roar,Safari Mode New for 2025!,5/5,
JBB23,204,Terra-Tracktyl,HW Track Champs,1/5,
JBB82,204,Terra-Tracktyl (2nd Color),HW Track Champs,1/5,
JBB24,205,Pontiac Aztek Custom,Wild Widebody,3/5,
JBC09,205,Pontiac Aztek Custom (2nd Color),Wild Widebody,3/5,
JJM45,205,Pontiac Aztek Custom (3rd Color),Wild Widebody Dollar General Exclusive,3/5,
JBB25,206,Speed Driver,Experimotors,8/10,
JBB88,206,Speed Driver (2nd Color),Experimotors,8/10,
JBB26,207,Ravenger S/T,Muscle Mania,4/10,
JBC14,207,Ravenger S/T (2nd Color),Muscle Mania,4/10,
JBB27,208,'69 Dodge Coronet Superbee,Muscle Mania,5/10,
JBB28,209,McLaren Speedtail,HW Exotics,5/5,
JBC44,209,McLaren Speedtail,HW Exotics Super Treasure Hunt,5/5,
JBB29,210,Land Rover Defender 90,Then and Now,5/10,
HYY18,210,Land Rover Defender 90 (2nd Color - Zamac),Then and Now Walmart Exclusive,5/10,
JBC16,210,Land Rover Defender 90 (3rd Color),Then and Now,5/10,
JJM44,210,Land Rover Defender 90 (4th Color),Then and Now Dollar General Exclusive,5/10,
HYY94,211,Custom '18 Ford Mustang GT,Mustang 60th,5/5,
JBC30,212,Honda S800 Racing,Compact Kings Treasure Hunt,9/10,
HYW46,213,Lotus Cortina,Compact Kings New for 2025!,10/10,
JBB15,214,2013 SRT Viper,Then and Now,6/10,
JBB32,215,Blitzspeeder,HW Track Champs,2/5,
JBB83,215,Blitzspeeder (2nd Color),HW Track Champs,2/5,
HYW45,216,Quick Chat,Experimotors New for 2025!,9/10,
JBC13,216,Quick Chat (2nd Color),Experimotors New for 2025!,9/10,
JBB33,217,King Kuda,Muscle Mania,6/10,
HYW47,218,Mod Mill,Muscle Mania New for 2025!,7/10,
JBC15,218,Mod Mill (2nd Color),Muscle Mania New for 2025!,7/10,
JBB34,219,Ford Mustang Dark Horse,Then and Now,7/10,
JBB35,220,Porsche 911 GT3 RS,Then and Now,8/10,
JBB36,221,'94 Bugatti EB110 SS,HW Race Day,9/10,
JBC45,221,'94 Bugatti EB110 SS,HW Race Day Super Treasure Hunt,9/10,
HYW48,222,Ferrari 365 GTB4 Competizione,HW Race Day New for 2025!,10/10,
JBC19,222,Ferrari 365 GTB4 Competizione (2nd Color),HW Race Day New for 2025!,10/10,
JBB37,223,Layin' Lowrider,HW Celebration Racers Cinco de Mayo,7/10,
HYW51,224,Honda VFR750R (RC30),HW Moto New for 2025!,4/5,
JBB38,225,Pagani Utopia,Peak Pursuit,4/10,
JBB39,226,Mazda 787B,Peak Pursuit,5/10,
JBB40,227,Volvo 240 Drift Wagon,HW Wagons,3/5,
HYY20,227,Volvo 240 Drift Wagon (2nd Color - Zamac),HW Wagons Walmart Exclusive,3/5,
HYW49,228,Twin Dorado,HW Track Champs New for 2025!,3/5,
JBC31,229,Shark Bite,Experimotors Treasure Hunt,10/10,
JBB41,230,'73 Pontiac Firebird,Muscle Mania,8/10,
JBB42,231,'73 Honda Civic Custom,Then and Now,9/10,
JBC46,231,'73 Honda Civic Custom,Then and Now Super Treasure Hunt,9/10,
HYW57,232,1966 Bat Boat,Batman New for 2025!,5/5,
JBB43,233,Custom '56 Ford Truck,HW Celebration Racers Day of the Dead/Halloween,8/10,
HYW52,234,Feline Lucky,HW Celebration Racers New for 2025! Maneki-neko Day,9/10,
JBC32,235,1966 Triumph Tiger 100,HW Moto Treasure Hunt,5/5,
JBB44,236,Limited Grip,Peak Pursuit,6/10,
HYW55,237,McMurtry Spéirling,Peak Pursuit New for 2025!,7/10,
HYW54,238,Jaguar XJC V12 Coupe,Wild Widebody New for 2025!,4/5,
HYY21,238,Jaguar XJC V12 Coupe (2nd Color - Zamac),Wild Widebody New for 2025! Walmart Exclusive,4/5,
HYW37,239,Porsche 911 Turbo Cabriolet,Then and Now New for 2025!,10/10,
